Sektor Ekonomi,Bulan,Nilai Kredit,Jenis Kredit
JUMLAH,Oktober,185273176.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,November,185273176.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",November,3047444.0,Rupiah
Pertambangan dan Penggalian,November,11370226.0,Rupiah
Industri Pengolahan,November,24493152.0,Rupiah
Pengadaan Listrik dan Gas,November,994329.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",November,907663.0,Rupiah
Konstruksi,November,17421499.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",November,21402057.0,Rupiah
Transportasi dan Pergudangan,November,1748049.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,November,8735816.0,Rupiah
Informasi dan Komunikasi,November,10394224.0,Rupiah
Jasa Keuangan dan Asuransi,November,2356102.0,Rupiah
Real Estate,November,14385267.0,Rupiah
Jasa Perusahaan,November,5248084.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",November,6868.0,Rupiah
Jasa Pendidikan,November,1769761.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,November,3867223.0,Rupiah
Jasa Lainnya,November,5017013.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),November,0.0,Rupiah
JUMLAH,November,185273176.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Desember,185273176.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Desember,3047444.0,Rupiah
Pertambangan dan Penggalian,Desember,11370226.0,Rupiah
Industri Pengolahan,Desember,24493152.0,Rupiah
Pengadaan Listrik dan Gas,Desember,994329.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Desember,907663.0,Rupiah
Konstruksi,Desember,17421499.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Desember,21402057.0,Rupiah
Transportasi dan Pergudangan,Desember,1748049.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Desember,8735816.0,Rupiah
Informasi dan Komunikasi,Desember,10394224.0,Rupiah
Jasa Keuangan dan Asuransi,Desember,2356102.0,Rupiah
Real Estate,Desember,14385267.0,Rupiah
Jasa Perusahaan,Desember,5248084.0,Rupiah
